FTTB events 2026-07-30T09:00:00 -> 2026-08-06T09:00:00
Total: 241

      id                start_time                  end_time                                                                                                                                                                                                                                                                                                                                                                                                                                                           resource
A1050797 2026-08-05 21:41:00+03:00 2026-08-05 21:45:00+03:00                                                                                                                              FTTB_pe05.KK12.Moscow_Bundle-Ether97.4(2), FTTB_pe02.Kostroma_Bundle-Ether8402.4(2), FTTB_pe01.Kostroma_Bundle-Ether8402.4(2), FTTB_pe02.Tyumen_Bundle-Ether20(2), FTTB_pe02.Togliatti_Bundle-Ether301.24(2), FTTB_pe02.Smolensk_Bundle-Ether8402.4(2), FTTB_pe01.Togliatti_Bundle-Ether300.23(2), FTTB_pe01.Tyumen_Bundle-Ether20(2)
A1047537 2026-08-03 06:45:00+03:00 2026-08-03 07:22:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047536 2026-08-03 06:45:00+03:00 2026-08-03 07:22:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047518 2026-08-03 05:51:00+03:00 2026-08-03 06:44:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047517 2026-08-03 05:51:00+03:00 2026-08-03 06:44:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047513 2026-08-03 05:39:00+03:00 2026-08-03 05:47:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047512 2026-08-03 05:39:00+03:00 2026-08-03 05:47:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047509 2026-08-03 05:33:00+03:00 2026-08-03 05:38:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047508 2026-08-03 05:33:00+03:00 2026-08-03 05:38:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047492 2026-08-03 05:01:00+03:00 2026-08-03 05:32:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047491 2026-08-03 05:01:00+03:00 2026-08-03 05:32:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047488 2026-08-03 04:50:00+03:00 2026-08-03 04:59:00+03:00                                                                                                                                                                                                                                                                                                                                                                                                                               FTTB_pe02.orel-Bundle-Ether300.24(2)
A1047487 2026-08-03 04:50:00+03:00 2026-08-03 04:59:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
A1047464 2026-08-03 04:16:00+03:00 2026-08-03 04:49:00+03:00                                                                                                                                                                                                                                                                                                                                                                                             FTTB_pe02.kursk-Bundle-Ether101(2), FTTB_pe01.kursk_Bundle-Ether101(2)
